,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
817,12.990528999999999,24.79053,18.85303,51,90,72.583336,1015.7,1018.1,1016.81256,584.49286,1.4399998999999999,16.199999,7.14,1.5533656,6.1503214999999996,3.9478223
819,15.280529000000001,23.71053,19.160114,45,88,70.333336,1015.9,1020.6,1018.7043,664.6468,1.08,14.04,9.269999499999999,0.5956885000000001,7.2761830000000005,4.08303
822,1.9805287,4.2805285,3.3051120000000003,83,93,87.833336,1007.1,1012.0,1009.1707,0.0,3.2399998,13.32,7.6950009999999995,2.1477854,10.883345,5.5993075
823,1.8005286,6.1805286,3.518445,77,93,86.666664,1012.0,1015.7,1014.1208,0.0,2.16,23.759998,9.780000999999999,2.8318708,10.9839525,6.1645665
824,1.8305286,7.240528599999999,3.8988620000000003,71,90,82.916664,1012.1,1015.6,1014.21246,281.68335,0.71999997,20.519999,10.29,1.0983953000000002,12.418355,6.7330995
825,0.50052863,6.0805287,3.3026120000000003,77,97,89.333336,1016.3,1020.5,1018.429,120.0,3.2399998,16.56,9.375,0.37674650000000004,10.548902499999999,5.531564700000001
827,2.0805285,4.7105284,3.4942787,74,96,86.291664,1022.2,1024.4,1023.3542,135.6647,4.68,18.0,11.595001,1.1302395,9.653095,6.112835
831,3.6105285000000005,8.220528999999999,5.741779,64,86,75.833336,1019.3,1024.1,1021.44995,362.9872,21.599998,45.36,35.145,8.578742,24.445010999999997,17.154501
832,3.6505284,11.310528999999999,7.563862299999999,48,74,63.66666800000001,1009.4,1019.4,1014.0374,423.15482000000003,25.199999,47.88,37.245,2.7167575,21.233603,14.180713
833,5.6205287,13.570529,9.77053,51,67,61.33333199999999,1008.9,1014.4,1010.9998,84.17554,12.959999,43.56,30.0,0.9605189000000001,16.406866,6.5051502999999995
841,2.0005286,7.1805286,5.056778400000001,74,88,82.375,1032.0,1036.3,1034.8418,175.95798,12.959999,37.079997999999996,20.324999,4.5833187,18.695510000000002,9.739058
842,1.2705287,8.3005295,4.313862,54,83,70.208336,1028.9,1034.8,1031.6124,476.07305999999994,15.480000500000001,25.919998,19.304998,0.79920006,11.442802,4.202311
843,3.1505284,8.680529,5.2805285,38,71,53.20833199999999,1023.5,1029.2,1026.4042,509.99188,5.7599998,27.72,19.859995,2.7167575,7.2761830000000005,5.3614154
844,4.5905285000000005,9.240528999999999,6.4467773,37,78,62.125,1023.4,1025.5,1024.1,341.59808,19.8,28.8,24.630003,0.84243083,12.566061999999999,6.5720353000000005
850,-3.6394714999999995,2.5905285,-0.35238802,68,96,82.375,1035.3,1037.7,1036.2916,0.0,11.159999000000001,33.48,20.025,8.228268,20.51453,12.37453
851,-1.5694714,4.0505285,0.47719526,61,88,79.0,1034.8,1036.3,1035.5126,366.11807000000005,2.8799999,22.68,14.355,0.9605189000000001,13.322664000000001,9.110958
852,-1.9994713,4.2805285,0.37136194,68,87,79.416664,1035.1,1037.7,1036.2458,511.11154000000005,3.6,23.039998999999998,11.370002000000001,1.0656,9.549612,4.888142
856,-0.93947136,6.1205287,1.6238621000000002,65,96,83.333336,1032.2,1040.2,1036.2792,518.8666400000001,3.2399998,10.440000999999999,5.745001,4.212154,7.212506299999999,5.6914525000000005
