,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
250,12.8005295,17.980529999999998,16.293446,60,84,69.125,1008.5,1018.2,1012.1125,0.7,360.153,7.92,51.48,32.115,3.9603205000000004,24.043982999999997,13.699197
251,11.260529,18.14053,14.6042795,59,88,72.708336,1018.3,1025.1,1021.3041400000001,0.1,589.0965,9.72,33.839996,23.385002,4.9121733,19.708199,12.4462595
252,11.190529,19.22053,15.259696,48,96,70.0,1022.3,1028.0,1025.2667,0.2,555.10455,0.35999998,10.440000999999999,5.7899995,0.2664,7.1730394,3.5974987
254,13.310529,24.160528,19.30678,54,95,69.916664,1013.5,1015.9,1014.64594,0.2,413.2184,3.2399998,29.88,18.36,2.5272923,17.452759,8.955076
256,18.06053,26.56053,21.249277,59,89,76.875,1008.7,1011.2,1010.1333,0.5,390.33545,0.35999998,36.0,13.079999,2.260479,18.280941000000002,6.335790599999999
257,17.31053,22.46053,19.807195999999998,64,97,79.958336,1010.8,1018.7,1014.81665,11.900001,460.20078,5.04,30.239997999999996,15.525001000000001,0.5956885000000001,10.870295,6.680434700000001
261,20.750528,27.740528,24.658447,34,86,66.791664,1013.7,1019.7,1017.60004,1.0,597.0611,2.8799999,49.32,15.915,1.5069860000000002,17.316,7.866492699999999
266,20.610529,29.37053,24.88053,49,87,65.833336,1013.9,1016.2,1015.2249,0.5,679.431,1.8,30.960001000000002,8.145,0.9605189000000001,11.8240795,5.181841400000001
268,13.390529,29.930528999999996,21.570114,57,87,74.25,1003.5,1013.2,1008.46655,1.0,527.4269400000001,2.16,64.439995,21.9,1.1302395,30.710040999999997,12.331772
269,11.380529,16.97053,14.222614000000002,60,89,71.75,1014.0,1022.2,1017.37085,3.0999997,508.9259,8.64,45.719997,26.535002000000002,4.890454,19.188198,11.647031
275,5.3005285,13.170529,8.735947,49,95,76.25,1013.0,1018.9,1015.4749,2.3000002,0.0,2.8799999,45.719997,14.760001,2.4560866000000003,11.504655999999999,6.802582000000001
276,5.0505285,8.910528999999999,6.9576135,53,96,76.125,1012.5,1019.8,1016.7998699999999,1.5000001,83.83972,5.7599998,65.88,35.204997999999996,3.207881,22.856126999999997,12.0072975
277,7.4305286,12.980528999999999,10.578446000000001,70,81,74.916664,1002.7,1012.0,1009.0334,2.3,1.9016666000000002,12.599999,73.439995,41.774998,3.7391023999999997,25.79682,14.915341
278,3.9705286,12.640528999999999,7.430113,72,87,76.458336,1000.3,1014.7,1008.9583,5.2,0.0,34.56,83.88,51.150005,12.748291,32.244305,20.330189999999998
279,4.1505284,7.010528599999999,5.448446,74,83,78.458336,1011.8,1016.5,1013.82916,1.1000001,60.919506000000005,34.56,57.96,51.854996,12.478216,25.139185,20.08822
280,5.0205283,10.970528999999999,8.1234455,75,89,79.875,1010.8,1019.6,1013.7791,3.7999995,66.38298,9.36,74.520004,60.210003,4.270716999999999,31.209757,23.022179
282,7.7805285,12.910528999999999,10.452612,65,93,70.208336,1014.0,1019.2,1016.22906,1.5,13.395033999999999,20.16,62.639996,53.22,11.458296,23.715588,17.757347
283,4.3905287,9.040529,6.3571954,88,94,91.458336,1015.1,1020.4,1017.46655,8.2,0.0,2.16,30.960001000000002,10.245,2.1477854,12.886713,6.0785084000000005
285,2.4705286,9.390528999999999,6.600528999999999,63,87,75.208336,1008.6,1020.8,1013.8833599999999,4.0,88.8273,12.959999,68.4,42.344997,6.3322554,25.358425,13.339782000000001
286,1.5505286,10.730528999999999,6.766361,32,81,62.0,1007.0,1019.8,1011.80426,0.5,0.0,9.36,93.6,52.304992999999996,6.1503214999999996,32.991676,17.267094
287,6.0705285,11.360529,8.843863,64,86,73.708336,1006.7,1013.5,1009.35004,7.599999400000001,168.59007,11.519999499999999,71.64,50.010006,5.7631135,26.200817,16.268162
