,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,snowfall,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
335,-1.8594713,4.0905285000000005,1.2942786,65,96,80.375,1016.9,1023.9,1019.7459,0.3,0.21000001,0.0,1.4399998999999999,23.4,11.400001,0.84243083,13.8528,6.8119087
337,-5.9494715,-2.3094714,-3.8890542999999997,56,81,66.291664,1019.5,1025.2,1022.0125,0.3,0.21000001,0.0,25.919998,46.44,38.429996,15.298875,26.070477,20.090956
345,-8.869471,-2.1294715,-5.037804,47,96,70.0,1031.5,1034.7,1032.9042,0.2,0.14,317.75317,2.16,38.16,21.99,1.3319999999999999,23.761923,11.371960000000001
349,-3.8494716,4.3205285,0.7451119,64,94,80.333336,1015.9,1020.1,1018.83325,0.90000004,0.63,290.00586,2.16,39.239998,20.19,1.9210378000000001,19.359417,10.699328
350,0.68052864,5.0805287,2.6180284,76,97,88.416664,1014.9,1020.6,1017.3582,3.2,0.42000002,0.0,10.440000999999999,72.0,47.639996000000004,7.1730394,39.337996999999994,26.049927
351,0.74052864,5.400528400000001,3.0976117000000003,67,100,83.708336,1020.7,1028.7,1024.8916,0.4,0.28,227.49539,1.8,18.72,10.635000999999999,1.6848617,12.132174000000001,6.8232764999999995
355,-2.0494714,5.500528299999999,1.2209451999999998,45,97,78.458336,1027.8,1034.1,1031.4208,0.1,0.07,491.07944000000003,2.16,27.72,15.000001000000001,0.9605189000000001,17.664951000000002,8.387122999999999
458,-2.9594715,2.9105287,0.2430286,70,96,79.958336,1013.6,1017.8,1015.3291,1.0,0.7,131.48936,6.8399997,57.239998,37.965,2.4560864,34.449135,21.499551999999998
459,-3.8594716,5.940528400000001,1.0538618999999998,67,96,82.666664,1008.4,1021.9,1016.5125,0.2,0.07,34.276596000000005,5.04,72.0,33.045,3.767465,32.89258,17.763648999999997
461,0.30052868,4.0905285000000005,2.331362,77,95,85.708336,1003.3,1006.8,1005.4375,8.6,5.81,234.57092000000003,4.32,55.44,31.050001,2.4123544999999997,22.986168,14.513318
